N,P,K,pH,EC,OC,B,Zn,Fe,Mn,Cu,S,Crop
201,58,354,7.86,0.16,0.3,2.09,0.7,2.21,2.1,8.26,48,Jawar
87,214,76,7.18,0.07,0.63,0.36,2.74,5.26,9.63,8.26,29,Cotton
279,22,576,8.68,0.32,0.84,7.06,0.79,7.06,4.96,8.19,48,Jawar
114,18,687,8.17,0.42,0.32,0.69,1.46,0.38,13.54,8.19,29,Jawar
189,22,162,7.2,0.6,0.69,0.59,2.11,1.91,5.19,8.16,50,Jawar
100,15,1.46,7.62,0.63,0.45,3.15,0.624,15.39,13.79,8.14,37,Cotton
113,11,589,7.34,0.82,0.62,0.7,0.618,19.7,4.3,8.14,26,Jawar
126,35,448,7.78,0.28,0.26,0.298,0.39,18.26,9.162,8.136,48,Jawar
108,11,626,8.12,0.24,0.29,1.08,0.85,0.32,7.32,8.1,24,Jawar
119,44,374,7.36,0.21,0.31,0.71,1.28,2.32,5.41,8.03,24,Jawar
25,7,348,7.18,0.71,0.32,1.75,0.57,15.62,6.822,8.016,63,Cotton
194,22,354,8.11,0.21,0.44,0.86,1.82,0.64,12.61,7.95,19,Jawar
201,40,353,7.39,0.32,0.21,0.72,1.35,0.84,11.3,7.95,19,Jawar
59,14,258,7.52,0.63,0.59,0.14,0.58,5.66,6.224,7.932,59,Cotton
100,15,108,7.26,0.81,0.6,2.8,0.692,16.52,4.72,7.932,54,Cotton
75,51,74,8,0.09,0.3,2.7,1.809,0.978,9.886,7.896,19,Cotton
210,44,114,6.11,0.42,0.49,1.15,2.378,12.06,21.24,7.888,107,Cotton
145,18,680,8.09,0.41,0.56,0.74,1.37,0.64,8.27,7.87,33,Jawar
194,51,432,8.17,0.15,0.29,0.64,0.96,2.32,15.07,7.87,10,Jawar
107,36,374,8.11,0.81,0.32,0.78,3.03,2.46,3.81,7.86,38,Jawar
136,29,571,7.46,0.34,0.25,0.69,1.62,0.88,6.29,7.82,24,Jawar
105,15,367,7.41,0.19,0.34,0.68,1.48,0.35,12.72,7.79,14,Jawar
139,15,646,8.06,0.33,0.68,0.74,1.32,1.88,10.52,7.71,24,Jawar
139,40,320,7.45,0.32,0.15,0.86,1.39,0.6,10.93,7.71,19,Jawar
156,44,340,7.35,0.11,0.32,0.96,1.26,0.35,10.57,7.71,14,Jawar
267,51,442,7.64,0.07,0.63,1.43,0.86,2.32,13.22,7.69,48,Jawar
134,62,639,8.16,0.23,0.69,0.85,2.05,2.3,6.45,7.63,29,Cotton
157,51,700,7.46,0.57,0.41,0.83,1.32,0.72,20.46,7.62,52,Cotton
186,15,313,7.45,0.11,0.34,0.78,1.9,5.44,15.2,7.61,29,Jawar
182,31,414,7.91,0.28,0.59,1.89,0.68,7.89,9.34,7.58,24,Jawar
75,8,420,7.58,1.2,0.09,5.7,1.528,1.498,3.154,7.572,11,Cotton
169,33,680,7.58,0.18,0.29,0.69,2.02,1.43,8.21,7.57,14,Jawar
194,36,210,7.62,0.72,0.28,0.89,1.58,2.49,4.09,7.54,60,Jawar
195,25,700,8.11,0.09,0.12,0.92,1.03,0.6,9.19,7.54,38,Jawar
93,21,5,7.3,0.2,0.63,6.302,22.3,5.69,8.55,7.411,210,Cotton
32,12,32,7.86,0.5,0.06,0.22,11.2,0.63,9.85,7.411,14,Cotton
99,88,65,7.4,0.3,0.69,0.63,12.3,9.85,7.102,7.41,74,Cotton
96,18,408,8.11,0.33,0.34,0.84,3.34,1.6,5.92,7.41,29,Jawar
69,40,401,7.69,0.47,0.34,0.58,1.06,18.23,5.75,7.35,43,Cotton
134,29,637,7.41,0.08,0.36,0.73,1.87,1.56,19.88,7.31,24,Rice
185,33,435,8.69,0.76,0.3,2.54,0.86,2.25,0.72,7.3,114,Rice
193,40,449,8.09,0.17,0.41,1.31,1.97,3.36,16.88,7.29,33,Rice
414,41,186,7.66,0.53,1.06,1.72,0.798,30.54,17.78,7.276,10,Rice
159,57,618,8.07,0.3,0.49,2.43,0.49,6.29,3.19,7.26,21,Rice
202,46,630,7.71,0.75,0.88,9.18,0.98,4.02,6.58,7.25,37,Rice
156,15,483,8.21,0.06,0.31,0.43,1.52,0.2,1.97,7.24,67,Jawar
121,69,612,8.12,0.09,0.32,0.94,1.43,0.73,9.07,7.23,24,Rice
119,65,639,8.21,0.27,0.41,0.98,2.1,2.5,13.13,7.18,57,Rice
113,29,362,7.59,0.42,0.72,6.39,0.42,9.156,7.162,7.178,78,Rice
186,40,728,7.45,0.17,0.31,0.59,0.8,2.45,16.36,7.14,14,Rice
95,42,278,7.71,0.69,0.72,0.5,0.72,15.62,7.378,7.136,92,Rice
113,94,88,7.42,0.16,0.2,4.05,0.868,9.184,5.196,7.082,34,Cotton
112,18,428,8.16,0.48,0.36,1.31,2.79,0.27,13.23,7.06,24,Jawar
84,36,442,7.59,0.81,0.33,0.96,3.19,0.13,12.21,7.06,19,Rice
157,29,680,8.16,0.51,0.41,0.76,1.57,2.08,19.01,7.05,38,Rice
170,37,618,8.24,0.79,0.22,0.43,13.47,7.77,2.33,7.02,27,Rice
192,58,648,7.81,0.29,0.63,4.32,0.77,4.32,6.15,6.97,48,Rice
106,29,320,7.58,0.79,0.29,1.07,2.13,0.23,7.98,6.95,24,Rice
197,97,138,6.72,0.17,0.64,3.2,2.364,4.846,5.846,6.904,55,Rice
206,65,462,8.11,0.11,0.29,0.85,2.58,0.3,10.32,6.89,52,Rice
132,15,454,8.11,0.52,0.69,0.86,1.1,0.92,16.08,6.89,43,Jawar
130,15,700,8.09,0.46,0.44,0.84,0.99,3.8,2.96,6.86,14,Jawar
43,153,168,7.93,0.64,0.96,0.42,3.486,7.468,4.8,6.824,68,Cotton
202,54,503,7.58,0.11,0.39,1.06,2.21,2.89,13.16,6.78,38,Rice
136,33,449,7.73,0.67,0.34,0.78,3.51,0.2,7.89,6.78,33,Rice
112,27,333,8.16,0.21,0.42,0.96,1.67,1.56,2.73,6.78,14,Rice
186,40,551,7.36,0.12,0.34,0.69,0.21,0.15,4.4,6.77,29,Rice
112,15,422,7.83,0.91,0.33,1.16,1.78,0.07,10.28,6.72,29,Jawar
98,58,592,7.58,0.11,0.32,0.98,1.33,1.93,4.59,6.72,14,Cotton
163,85,697,8.03,0.18,0.39,14.44,1.624,13.05,3.604,6.72,8,Cotton
186,40,354,8.19,0.07,0.31,0.86,1.37,0.43,13.44,6.71,43,Cotton
100,8,613,7.71,0.42,0.39,13.3,1.66,12.47,3.852,6.694,64,Cotton
75,31,620,7.65,0.26,0.38,10.26,1.66,13.47,3.438,6.694,60,Cotton
25,19,487,7.31,0.13,0.53,5.7,1.596,9.834,3.192,6.67,45,Cotton
171,76,265,7.62,0.91,0.36,0.61,1.47,0.81,19.54,6.66,19,Rice
1.55,51,408,7.21,0.49,0.29,1.2,2.53,1.27,3.69,6.65,19,Cotton
189,22,552,7.42,0.28,0.56,2.2,0.26,6.62,30.84,6.62,30,Rice
174,36,450,8.29,0.14,0.26,0.63,2.89,1.47,45,6.62,18,Rice
138,16,469,8.16,0.6,0.36,0.25,1.67,1.2,6.23,6.59,57,Jawar
142,40,347,7.78,0.72,0.28,1.5,2.97,1.2,6.41,6.59,14,Rice
63,174,84,7.29,0.43,0.38,3.04,0.894,13.35,39.46,6.562,98,Cotton
78,54,551,7.58,0.18,0.71,0.68,2.05,1.2,5.65,6.55,29,Cotton
181,62,367,7.71,0.61,0.55,0.59,1.08,2.42,18.96,6.52,16,Cotton
50,19,697,7.41,0.16,0.53,4.94,1.044,9.63,19.44,6.41,30,Jawar
167,24,624,8.05,0.33,0.27,8.91,0.69,4.98,7.98,6.39,77,Cotton
102,54,306,7.42,0.32,0.28,0.57,2.1,4.62,5.91,6.38,67,Jawar
193,27,546,8.925,0.36,0.42,6.21,0.12,9.89,2.96,6.36,53,Jawar
193,65,360,7.95,0.09,0.37,6.13,0.37,2.11,1.9,6.32,76,Jawar
132,76,367,7.29,0.05,0.41,3.44,0.43,1.55,7.71,6.31,119,Jawar
146,18,721,8.31,0.27,0.37,0.27,0.55,4.56,26.12,6.3,27,Jawar
163,33,463,7.64,0.56,0.35,2.45,0.702,24.64,8.854,6.282,46,Jawar
125,22,693,7.47,0.14,0.39,1.75,0.702,24.64,8.358,6.282,29,Jawar
96,44,462,8.16,0.31,0.29,0.72,1.97,2,4.63,6.27,33,Jawar
89,44,551,8.11,0.81,0.41,0.78,1.65,1.13,15.16,6.27,29,Cotton
50,19,480,7.88,0.16,0.45,6.46,0.496,6.558,5.094,6.268,53,Cotton
173,61,468,7.28,0.45,0.53,5.678,1.61,3.61,2.48,6.25,50,Cotton
194,24,582,8.3,0.4,0.86,5.94,0.26,2.51,7.81,6.25,34,Jawar
75,37,531,7.56,0.15,0.27,3.5,0.39,26.44,8.004,6.24,37,Jawar
174,22,422,7.36,0.28,0.42,1.31,1.44,2.92,20.64,6.24,19,Cotton
102,29,333,8.45,0.86,0.49,0.81,0.26,4.94,24.64,6.22,13,Jawar
183,48,636,8.15,0.72,0.61,6.21,0.51,6.8,3.61,6.21,42,Jawar
166,62,306,7.04,0.81,0.3,1.5,5.26,1.41,2.28,6.21,24,Jawar
162,54,524,8.21,0.52,0.41,0.72,2.26,0.27,6.02,6.21,19,Jawar
151,48,333,7.94,0.17,0.45,2.45,0.63,25.84,12.11,6.196,74,Jawar
100,48,468,7.82,0.13,0.27,3.15,0.518,14.72,11.55,6.196,37,Jawar
75,41,756,7.83,0.17,0.27,4.45,0.702,12.91,9.492,6.196,37,Cotton
125,7,702,7.5,0.15,0.27,1.75,0.814,25.54,9.28,6.196,26,Cotton
181,76,469,7.84,0.21,0.42,1.43,0.57,1,4.81,6.18,38,Jawar
146,54,626,7.59,0.42,0.29,0.69,1.91,1.4,2.33,6.16,29,Jawar
155,37,360,8.35,0.82,0.37,5.13,0.64,3.28,7.19,6.15,50,Jawar
116,36,462,7.5,0.46,0.37,1.99,2,5.74,26.32,6.15,24,Jawar
126,44,299,7.6,0.34,0.4,1.26,0.26,5.74,26.32,6.15,19,Jawar
109,15,360,8.09,0.58,0.31,0.69,2.41,0.45,20.16,6.13,67,Jawar
91,44,326,7.18,0.03,0.32,1.14,0.42,2.27,0.76,6.12,76,Jawar
141,87,449,7.5,0.04,0.29,0.86,0.42,1.55,0.38,6.12,43,Cotton
50,92,163,7.71,0.24,0.39,1.75,0.574,24.94,9.776,6.112,46,Jawar
50,48,720,7.89,0.24,0.44,2.45,0.518,14.72,11.19,6.112,40,Cotton
63,44,369,7.63,0.15,0.42,3.15,0.5,24.64,11.48,6.112,37,Cotton
113,77,369,7.73,0.15,0.29,3.15,0.592,25.54,8.004,6.112,34,Cotton
88,74,756,7.82,0.15,0.29,1.4,0.85,26.14,10.2,6.112,26,Jawar
131,69,639,7.39,0.24,0.41,0.84,2.82,1.56,12.63,6.1,38,Cotton
106,33,333,8.11,0.42,0.41,0.58,1.51,1.3,9.58,6.1,38,Jawar
184,18,374,8.17,0.42,0.31,0.94,2.05,1.63,7.89,6.1,29,Jawar
201,47,449,8.19,0.32,0.29,0.74,1.83,18.99,11.07,6.08,29,Jawar
145,29,394,8.15,0.26,0.66,2.7,0.12,6.62,24.36,6.07,4,Jawar
201,92,261,7.92,0.2,0.45,3.15,0.518,25.84,12.19,6.068,88,Jawar
50,41,666,7.82,0.17,0.45,1.75,0.574,12.31,10.91,6.068,71,Jawar
176,33,648,8.03,0.17,0.41,3.5,0.482,13.51,7.72,6.068,51,Cotton
125,22,639,7.73,0.99,0.38,2.8,0.31,13.21,8.146,6.068,48,Jawar
75,59,531,8.04,0.17,0.29,2.45,0.794,11.71,11.41,6.068,31,Jawar
193,65,632,8.16,0.17,0.69,0.72,0.75,0.67,2.88,6.06,33,Cotton
140,29,320,8.4,0.15,0.37,0.7,2.22,1.09,21.3,6.06,17,Jawar
63,85,575,7.23,0.19,0.23,3.85,0.269,6.942,13.92,6.054,86,Jawar
100,59,711,7.77,0.17,0.86,5.95,0.548,6.858,16.46,6.052,123,Cotton
88,26,441,7.63,0.29,0.57,3.15,0.506,10.89,3.75,6.05,94,Cotton
50,22,576,7.6,0.17,0.36,2.45,0.316,25.24,7.65,6.026,40,Cotton
176,37,378,7.23,0.19,0.56,2.45,0.446,11.41,8.43,6.026,29,Cotton
196,25,660,7.32,0.53,0.33,0.96,2.66,1.18,3.11,6.02,67,Jawar
230,29,374,7.86,0.14,0.38,0.86,0.83,3.17,8.56,5.99,48,Jawar
124,62,639,7.58,0.43,0.89,0.69,2.9,1.5,4.96,5.99,43,Jawar
112,44,456,8.16,0.71,0.31,0.74,1.65,1.63,3.82,5.99,33,Jawar
106,76,707,7.39,0.61,0.33,0.69,2.71,1.6,3.05,5.99,29,Jawar
124,58,585,8.19,0.54,0.34,0.58,3.03,1.53,2.79,5.99,24,Jawar
63,30,756,8.13,0.22,0.36,2.1,0.592,12.91,9.492,5.982,57,Jawar
56,41,603,7.14,0.16,0.33,3.15,0.74,27.04,12.19,5.982,54,Cotton
125,48,504,8.06,0.16,0.36,3.15,0.868,13.51,7.65,5.982,51,Cotton
151,11,693,7.9,0.13,0.36,2.45,0.464,11.71,11.19,5.982,37,Jawar
88,59,693,7.64,0.12,0.32,2.45,0.446,27.34,9.28,5.982,31,Jawar
113,100,765,7.3,0.2,0.56,1.75,0.648,26.14,12.19,5.982,26,Cotton
102,62,367,7.17,0.7,0.3,1.5,3.01,6.78,5.26,5.98,57,Jawar
126,11,326,7.3,0.81,0.24,0.81,4.95,0.23,22.3,5.97,42,Jawar
116,40,286,7.49,0.72,0.3,0.93,7.33,1.24,19.5,5.97,14,Jawar
141,106,192,8.84,0.25,0.38,0.51,0.93,8.05,6.4,5.96,16,Jawar
75,89,171,7.96,0.16,0.3,1.75,0.684,12.01,9.28,5.94,88,Cotton
50,59,738,7.13,0.14,0.38,2.45,0.61,25.84,12.4,5.94,51,Cotton
63,85,639,7.86,0.16,0.45,2.8,0.942,10.21,10.41,5.94,51,Cotton
113,41,380,7.82,0.33,0.38,2.1,0.426,24.64,8.854,5.94,48,Cotton
113,30,531,7.6,0.13,0.41,2.45,0.538,14.42,8.074,5.94,48,Jawar
75,37,765,7.67,0.27,0.38,2.8,0.426,24.64,8.854,5.94,34,Jawar
151,81,612,7.78,0.12,0.32,6.65,0.556,14.42,7.508,5.94,31,Cotton
125,63,666,7.83,0.12,0.41,1.75,0.648,26.74,11.48,5.94,29,Jawar
100,52,621,7.53,0.18,0.32,3.15,0.722,12.61,11.48,5.94,29,Jawar
113,18,576,7.66,0.17,0.36,1.75,0.886,25.54,7.154,5.94,26,Cotton
102,65,639,8.07,0.13,0.41,0.78,1.97,2.5,3.02,5.93,48,Jawar
132,25,456,8.06,0.37,0.44,1.06,2.82,0.47,8.12,5.93,29,Jawar
145,21,648,8.65,0.42,0.36,1.89,1.45,4.9,4.96,5.93,27,Jawar
79,15,585,7.58,0.64,0.29,0.86,2.45,6.99,0,5.93,24,Jawar
107,73,721,7.39,0.36,0.32,0.58,2.47,1.5,2.49,5.93,14,Cotton
87,91,248,8.62,0.33,0.28,1.54,3.322,7.636,16.84,5.916,84,Jawar
63,114,603,8.03,0.15,0.27,3.1,0.74,13.51,9.28,5.898,57,Cotton
138,26,441,7.56,0.18,0.41,2.45,0.426,15.02,9.846,5.898,46,Cotton
88,22,531,8.02,0.2,0.33,3.5,0.85,11.71,7.508,5.898,46,Jawar
50,26,387,7.42,0.14,0.6,3.5,0.316,10.81,9.138,5.898,34,Cotton
245,64,294,7.75,0.22,0.18,5.67,0.98,5.61,6.72,5.89,29,Cotton
166.2,116,164,7.79,0.09,0.41,1.64,4.238,15.74,8.804,5.888,123,Jawar
172,18,408,8.09,0.39,0.32,0.94,2.05,0.03,3.88,5.88,43,Cotton
134,62,558,8.09,0.09,0.34,0.58,3.23,1.43,2.72,5.88,24,Jawar
169,25,741,8.21,0.41,0.34,0.72,2.11,0.55,19.02,5.87,43,Jawar
178.8,100,152,7.83,0.36,0.31,1.09,4.152,13.23,9.252,5.854,132,Jawar
63,18,576,7.72,0.17,0.54,5.95,0.316,23.74,8.57,5.854,66,Cotton
151,30,531,8.01,0.15,0.29,2.45,0.702,12.31,7.862,5.854,54,Cotton
176,44,378,7.61,0.17,0.3,2.8,0.684,23.44,10.48,5.854,31,Jawar
158,20,456,7.65,0.13,0.09,1.35,0.45,5.26,3.68,5.85,21,Jawar
151,11,121,7.83,0.15,0.45,6.35,0.53,5.198,16.13,5.82,182,Jawar
88,11,423,8.2,0.21,0.45,5.25,0.636,7.664,16.46,5.82,114,Jawar
129,47,320,8.27,0.35,0.89,0.95,2.07,0.46,2.91,5.82,19,Cotton
98,25,524,7.59,0.09,0.32,0.96,2.79,0.2,15.99,5.82,11,Jawar
176,77,279,7.33,0.27,0.41,3.15,0.666,26.104,13.25,5.812,68,Cotton
50,59,774,7.83,0.14,0.38,1.75,0.758,12.91,10.84,5.812,54,Jawar
100,77,126,7.89,0.15,0.45,1.75,0.574,15.62,11.33,5.812,51,Cotton
179,29,646,7.04,0.71,0.79,0.96,2.19,1.39,19.6,5.79,40,Cotton
90.9,194,144,7.67,0.24,0.56,1.95,3.69,10.72,9.252,5.784,113,Jawar
88,15,603,8.76,0.39,0.29,3.5,0.458,6.422,16.22,5.774,171,Cotton
113,66,486,7.75,0.19,0.12,5.25,0.464,26.14,7.792,5.77,63,Cotton
63,55,774,7.82,0.16,0.33,2.45,0.74,11.11,11.9,5.77,57,Jawar
88,44,738,7.69,0.19,0.27,2.45,0.648,12.91,9.35,5.77,40,Cotton
88,11,641,7.31,0.21,0.36,1.75,0.582,2.484,5.422,5.752,60,Cotton
28.2,50,252,6.47,0.61,0.67,1.87,3.72,1.57,7.342,5.75,160,Cotton
50,66,72,7.8,0.22,0.21,2.45,0.61,12.31,9.28,5.726,29,Cotton
125,41,711,7.54,0.15,0.33,2.45,0.61,24.64,8.854,5.726,29,Cotton
63,22,648,7.93,0.19,0.32,2.45,0.684,9.906,9.35,5.726,26,Jawar
175,15,747,8.25,0.56,0.32,3.45,0.935,7.792,15.45,5.725,135,Cotton
142,51,673,8.16,0.08,0.41,0.96,1.56,3.4,3.48,5.71,43,Jawar
130,40,306,7.15,0.36,0.5,0.67,0.93,0.794,19.4,5.7,37,Jawar
88,22,729,7.33,0.15,0.62,6.3,0.408,26.74,8.642,5.684,57,Jawar
176,33,108,8.12,0.44,0.41,2.1,0.42,14.11,9.138,5.684,51,Cotton
134.8,56,306,7.82,0.25,0.36,2.37,3.69,11.01,4.794,5.682,146,Cotton
194,27,426,7.72,0.22,0.73,1.58,0.31,1.29,2.83,5.67,36,Jawar
109,62,462,8.17,0.11,0.41,0.83,1.14,3.09,11.99,5.67,29,Jawar
146,73,725,7.59,0.43,0.41,0.92,2.31,1.53,2.82,5.65,48,Jawar
119.2,63,384,8.04,0.54,0.26,2.72,3.514,10.87,8.242,5.648,57,Jawar
125,30,423,7.52,0.24,0.36,6.3,0.298,12.91,8.996,5.642,37,Jawar
151,48,684,7.65,0.16,0.66,5.6,0.814,26.44,8.358,5.642,29,Jawar
156,25,340,7.2,0.36,0.27,2.99,0.32,5.78,24.9,5.63,29,Jawar
203,25,302,7.92,0.65,0.95,0.87,1.32,2.36,8.36,5.62,62,Jawar
132,18,741,7.45,0.47,0.38,0.83,1.54,0.06,16.88,5.61,57,Jawar
149,34,95,7.32,0.45,0.8,1.14,1.5,1.96,10.8,5.6,62,Jawar
176,41,504,7.45,0.18,0.17,1.75,0.334,12.91,9.492,5.598,37,Cotton
116,62,666,8.18,0.28,0.34,0.82,2.69,2.66,5.77,5.59,52,Jawar
86,18,320,7.69,0.67,0.32,0.92,3.65,0.2,3.54,5.59,29,Jawar
97.2,78,354,7.91,0.56,0.18,2.78,3.402,12.34,4.832,5.578,135,Cotton
89,16,396,6.85,0.05,0.22,1.73,3.576,20.02,12.74,5.578,128,Cotton
149,44,109,7.46,0.26,0.33,0.57,1.1,1.31,16.27,5.56,67,Cotton
176,22,657,7.5,0.13,0.57,4.55,0.206,13.81,8.642,5.556,31,Cotton
106,33,265,7.39,0.28,0.41,1.07,2.87,0.37,15.34,5.54,14,Jawar
136,72,68,7.49,0.48,0.33,0.86,3.48,2.29,16.7,5.52,71,Jawar
132,29,347,7.59,0.34,0.41,0.72,2.61,3.47,11.33,5.52,57,Cotton
192,25,469,7.41,0.05,0.36,0.68,2.04,4.72,12.23,5.52,38,Jawar
124,47,367,8.04,0.2,0.34,1.14,1.46,3.12,11.28,5.52,24,Jawar
118,28,503,8.16,0.26,0.69,0.69,1.82,5.22,18.35,5.52,19,Jawar
138,15,101,7.86,0.62,0.29,4.56,0.814,8.902,26.71,5.514,14,Jawar
163,52,558,7.5,0.12,0.23,5.25,0.63,25.84,7.154,5.512,54,Jawar
63,63,486,7.62,0.32,0.12,3.15,0.96,26.74,13.18,5.512,37,Jawar
25.1,50,30,7.25,0.22,0.43,2.34,2.764,6.894,2.062,5.458,10,Cotton
150,44,646,7.29,0.35,0.59,2.5,3.24,0.57,4.64,5.44,33,Cotton
186,33,360,8.21,0.24,0.4,0.86,1.93,1.51,24.3,5.43,62,Jawar
170,62,292,8.3,0.34,0.3,0.7,1.66,1.816,18.8,5.43,33,Jawar
